108 cells x 3 seeds x 3 parasite level(s) x 13 readings = 12636 readings
14976 already done, 972 tasks left, 13 workers
  10/972 tasks, 1.3 min elapsed, 122.9 min left
  20/972 tasks, 2.5 min elapsed, 120.9 min left
  30/972 tasks, 3.7 min elapsed, 117.5 min left
  40/972 tasks, 5.0 min elapsed, 116.0 min left
  50/972 tasks, 5.1 min elapsed, 93.4 min left
  60/972 tasks, 6.3 min elapsed, 96.0 min left
  70/972 tasks, 7.5 min elapsed, 97.2 min left
  80/972 tasks, 8.8 min elapsed, 97.7 min left
  90/972 tasks, 9.1 min elapsed, 89.3 min left
  100/972 tasks, 10.6 min elapsed, 92.0 min left
  110/972 tasks, 12.0 min elapsed, 94.1 min left
  120/972 tasks, 13.2 min elapsed, 93.6 min left
  130/972 tasks, 13.6 min elapsed, 87.9 min left
  140/972 tasks, 15.0 min elapsed, 89.4 min left
  150/972 tasks, 16.6 min elapsed, 90.9 min left
  160/972 tasks, 18.1 min elapsed, 91.9 min left
  170/972 tasks, 19.6 min elapsed, 92.5 min left
  180/972 tasks, 20.8 min elapsed, 91.5 min left
  190/972 tasks, 23.1 min elapsed, 95.2 min left
  200/972 tasks, 25.3 min elapsed, 97.5 min left
  210/972 tasks, 27.3 min elapsed, 99.0 min left
  220/972 tasks, 28.6 min elapsed, 97.6 min left
  230/972 tasks, 31.4 min elapsed, 101.3 min left
  240/972 tasks, 33.2 min elapsed, 101.2 min left
  250/972 tasks, 34.2 min elapsed, 98.7 min left
  260/972 tasks, 35.5 min elapsed, 97.2 min left
  270/972 tasks, 36.7 min elapsed, 95.3 min left
  280/972 tasks, 38.3 min elapsed, 94.6 min left
  290/972 tasks, 39.7 min elapsed, 93.4 min left
